story,grade
"아이오와 출신의 시골뜨기 조는 꿈과 희망을 안고 뉴욕에 도착한다. 그를 맞이한 것은 갱스터, 강도, 그리고 곧 철거될 초라하고 더럽고 황폐한 아파트 건물이다. 아파트를 허물고 그 자리에 최첨단 감옥을 짓겠다는 주지사는 주민들에게 해를 끼치기 위해 깡패들을 고용한다. 문제의 아파트로 이사 온 조는 즉시 깡패들의 표적이 된다. 위기의 순간에 조를 구해준 것은 그곳에 사는 바퀴벌레들이다. 조만큼 더러운 조에게 감명을 받은 이 곤충들은 그를 돕기로 결심하고 노래하고 춤추고 무엇이든 할 수 있다. 조는 바퀴벌레들과 친구가 된다. 하지만 조가 아름다운 릴리를 구애하려 하자 그녀의 데이트를 엿보던 문제아들이 모두 그녀의 얼굴에 쏟아진다...",12세이상관람가
"그녀의 어머니 마리아가 만성 질환으로 죽었을 때, 아나는 그녀의 아버지에게 독이 섞인 음료를 주면서 그것이 그녀의 아버지 때문이라고 주장했습니다. 그 결과 그녀의 아버지 안셀모도 죽었고, 아나, 이레네, 마이테는 갑자기 고아가 되었습니다. 세 자매는 죽은 어머니와 아버지 대신 식물인간 상태에 있는 이모와 할머니와 함께 살았습니다.",12세이상관람가
"백스터는 뉴욕의 일반 보험 회사의 소심하지만 정직하고 친절한 직원입니다. 그는 독신이고 도시의 조용한 아파트에 살고 있지만 결국 불륜을 저지르는 임원들에게 임대를 주게 됩니다. 그는 소심하고 그의 파트너들은 모두 상당한 영향력을 가지고 있기 때문에 설득과 위협을 통해 매번 집을 내줄 수밖에 없습니다. 한편 그는 엘리베이터 걸인 프랜에게 은밀히 끌립니다. 아파트를 임대하는 임원들의 도움으로 그는 승진 후보가 되고 사람을 임명할 권한이 있는 전무이사 셸드레이크를 만납니다. 셸드레이크는 또한 백스터의 아파트를 임대하고 백스터는 자신의 아파트에 데려오는 사람이 프랜이라는 것을 알게 되고 그녀와 멀어집니다. 그는 회사의 크리스마스 파티에서 프랜과 화해할 기회를 얻지만 우연히 셸드레이크가 자신의 아파트에 데려오는 사람이 프랜이라는 것을 알게 되고 그녀와 다시 멀어집니다. 하지만 셸드레이크의 마음의 변화에 ​​상처받은 프랜은 크리스마스 이브에 버드의 아파트로 가서 약을 먹고 자살을 시도하지만, 버드가 나타나 그녀의 목숨을 구해준다...",12세이상관람가
"1969년 7월 20일, 세 번의 우주 비행을 완료한 42세의 베테랑 우주인 짐 러벨은 동료 닐 암스트롱의 역사적인 달 착륙을 TV에서 지켜보며 ""반드시 달에 가겠다""는 꿈을 괴로워하며 떠올렸다. 그러던 어느 날, 예상치 못하게 일찍 기회가 찾아왔다. 6개월 후, 발사 예정이었던 아폴로 13호의 사령관이 중이염으로 인해 중간에 하차해야 했고, 짐은 대체 승무원으로 13번째 승무원에 배치되었다. 베테랑이자 관대한 선장인 짐 러벨, 완벽주의자인 사령선 조종사 켄 매팅글리, 달 착륙선 조종사 프레드 헤이스는 6개월 동안 고통스러운 훈련을 견뎌내며 달에 갈 날을 간절히 기다렸다. 하지만 발사 이틀 전, 예비 승무원 중에 홍역 환자가 발생했고, 아직 홍역에 걸리지 않았던 켄은 감염되었을지도 모른다는 이유로 팀에서 제외되었다. 대신 예비 승무원의 신입 멤버인 잭 스위거트가 명령 모듈 조종사로 팀에 합류합니다. 땅에 남겨진 켄은 눈물을 삼키고 절망에 빠집니다. 마침내 발사 당일, 새턴 V 로켓에 실린 아폴로 13호가 거대한 불꽃 속에서 하늘로 올라갑니다. 달을 탐험하는 여정이 마침내 시작되었습니다. 지구 궤도를 벗어나 달을 향한 비행을 시작한 우주인들은 달 착륙선과 안전하게 도킹했고 달 궤도에 진입하기 전에 휴식을 취하려던 중 예상치 못한 폭발이 일어나고 우주선이 흔들리기 시작합니다. 산소 탱크 내부의 코일이 전기 단락으로 인해 폭발했습니다. 휴스턴 비행 통제의 냉정한 책임자인 진 크란츠는 부하 기술자들을 독려하고 격려하여 상황을 해결하기 위해 신속하게 조치를 취합니다. 크란츠는 폭발로 기계선 엔진이 손상되었을 것이라는 가정 하에 '즉시 귀환' 대신 '자유원형 궤도' 방식을 택해 달의 중력을 이용해 우주선을 달 궤도로 돌린 후 착륙선 엔진을 가동해 귀환한다. 재진입 시 동력을 많이 잃은 사령선을 활용하기 위해 사령선을 일시적으로 정지시키고 착륙선을 구명보트로 삼아 지구 재진입 지점까지 항해하기로 한다. 이 과정에서 또 다른 위기가 닥치지만, 스태프들은 재치를 발휘해 간신히 극복한다. 탑승팀에서 제외돼 우울해하던 켄도 동료들로부터 소식을 듣고 소매를 걷어붙인다. 며칠 동안 얼어붙은 사령선을 겨우 20암페어의 전류로 재가동하는 방법을 찾아야 하는 임무를 맡은 켄은 필사적으로 그 임무에 매달리는데...",12세이상관람가
지중해에 접한 북아프리카 모로코 카사블랑카는 2차 세계대전의 혼란을 피해 미국으로 향하는 사람들이 들르는 붐비는 항구입니다. 이곳에서 카페를 운영하는 릭은 반나치 지도자 라졸로와 그의 아내 일자의 방문을 받습니다...,12세이상관람가
소심한 병태는 짝사랑하는 대학생 미란의 구애에 실패하고 집을 뛰쳐나와 고래를 사냥한다. 거리를 헤매던 중 난폭한 민우를 만나 친구가 된다. 시내를 헤매던 중 홍등가에서 벙어리 여인 춘자를 만난다. 민우의 도움으로 병태는 춘자의 잃어버린 말과 고향을 찾기로 결심하고 그녀를 구해 집으로 향한다. 힘들고 고통스러운 여정 끝에 춘자는 말을 되찾고 그리워하는 어머니의 품에 안긴다. 그리고 병태는 고래가 먼 바다에 있는 것이 아니라 이웃을 사랑하는 실천이라는 것을 깨닫는다.,12세이상관람가
"연합군이 중국을 장악하고 베이징을 침략하자 황제와 황후는 중국을 떠나 피난을 간다. 그때 남부 해안에는 해적들이 난무하고, 왕비홍과 그의 아버지 왕치잉, 그리고 그의 숙모 메이는 광저우로 향하던 중 폭풍을 만난다. 하지만 그들이 창고를 지나갈 때 화물이 무너지고, 창고 주인은 왕비홍의 무리를 해적들로 착각해 싸움이 벌어지지만, 왕비홍이 승리하고 진짜 도둑인 포두를 잡는다. 하지만 포두는 사실 재능 있는 변호사였고, 그가 곡식을 훔쳐 조정 병사들에게 식량을 제공하고 그 지역의 법과 질서를 유지했다는 것이 밝혀진다. 진실을 알게 된 왕비홍은 임시 판사가 되어 각 지역에 범죄 예방 기구를 설립한다. 한편, 왕치잉은 상황을 걱정하여 가족과 함께 홍콩으로 탈출하기로 결심하지만, 왕비홍은 홍콩에 남아 제자들과 보두와 힘을 합쳐 해적들과 싸우기로 결심한다.",12세이상관람가
"범죄, 부패, 탐욕으로 가득 찬 도시 고담시에 수수께끼의 배트맨이 나타나 시민들을 두려움과 위협으로부터 구한다. 모든 시민들은 배트맨의 활동을 지켜보면서 배트맨에 대해 더욱 호기심을 갖게 된다. 배트맨의 정체에 호기심을 가진 신문 기자 비키 ​​앞에 브루스 웨인이라는 수수께끼의 남자가 나타난다. 이 매력적이고 수수께끼 같은 젊은 거물은 점점 비키와 가까워지고, 배트맨 때문에 모습이 바뀐 악당 조커는 배트맨에게 복수를 다짐한다.",12세이상관람가
"배트맨은 고담시를 구하기 위해 돌아와서 그가 본 것 중 가장 강력한 악당들과 마주합니다. 그 배후에는 총명하고 복수심이 강한 펭귄과 파렴치한 백만장자 사업가 맥스 슈렉이 있습니다. 펭귄은 충성스러운 펭귄 군대와 레드 서커스를 사용하여 고담시와 그 수호자 배트맨을 파괴합니다. 그러나 배트맨에게 더 큰 위협은 신비롭고 매력적이지만 극도로 위험한 캣우먼입니다. 배트맨과 마찬가지로 고통스러운 과거를 가진 캣우먼은 강력한 힘, 지능, 그리고 신비한 비밀로 배트맨에게 접근하고 배트맨과 캣우먼은 서로에게 이상한 감정을 갖게 됩니다.",12세이상관람가
"하워드는 야심찬 사업가이지만, 일에 너무 바빠서 아내와 아들은 그에게 좋은 성적을 주지 않는다. 반면, 항상 부족한 아버지라는 콤플렉스에 시달리는 하워드는 옆집에 사는 아들 테드에게 매우 헌신적이다. 크리스마스 이틀 전. 그는 아들에게 터보맨 인형을 사주는 것을 잊고, 다음 날 일찍 백화점에 가지만 인형은 이미 매진이다. 그때부터 하워드는 터보맨을 사기 위해 눈물을 흘리며 노력하기 시작한다.",12세이상관람가
"미식축구 선수 브루스는 화목한 가정에서 자란 평범한 고등학생이다. 하지만 18번째 생일에 아버지로부터 선물받은 오토바이가 그의 인생을 바꾼다. 오토바이 사고를 보지 못한 경찰차가 브루스를 들이받는다. 병원으로 이송된 후 의사는 그를 포기한다. 브루스는 끈기 있는 활력으로 기적적으로 회복하지만 다리 하나를 절단한다. 여자친구는 그를 버리고, 며칠 동안 충격과 절망에 빠진 브루스는 목발을 버린다. 그는 의사가 추천한 의족을 착용하고 두 발로 졸업장을 받기 위해 노력한다. 하지만 그의 기쁨은 잠깐이고, 이번에는 자전거를 타던 중 뒤에서 차가 그를 들이받는다. 건강한 다리가 부러지고 신장, 비장 등 다른 장기가 기능을 잃은 완전 망가진 브루스는 결국 요양원에서 오랜 시간을 보내게 된다. 간호사 사라와 장기 입원 환자 페리는 절망, 괴로움, 자기 고문에 시달리는 브루스에게 희망을 줍니다. 페리는 브루스에게 자신이 만든 교회 모형을 보여주고 그것이 보스턴의 실제 교회와 비슷한지 직접 보라고 도전합니다. 이것은 브루스에게 다시 혼자 일어설 수 있는 도전을 줍니다...",12세이상관람가
"아이오와주의 작은 마을인 엔도라에 사는 길버트 그레이프는 식료품점 점원으로 일하며 가족을 부양한다. 길버트에게는 아버지의 죽음에 대한 충격으로 500파운드까지 불어난 고래 같은 어머니, 기회가 있을 때마다 높은 곳에 오르는 것을 좋아하는 정신지체 남동생 어니, 집안일에 지친 34세 언니 에이미, 반항심이 강한 16세 여동생 엘렌이 있다. 길버트는 이들을 돌보고 가족의 수장으로서의 역할을 다하지만, 이 황폐한 작은 마을에서의 삶은 음악 없이 춤추는 것과 같으며 탈출하고 싶은 마음을 느끼며 산다. 어느 여름, 숨 막히는 삶을 살고 있는 길버트에게 베키가 나타난다. 차가 고장 나서 엔도라에 머물게 된 캠핑객 베키는 우연히 가스 탱크에 올라탄 어니를 돌보는 길버트를 만난다. 베키는 길버트의 순수함에 끌린다. 그리고 길버트는 베키 덕분에 새로운 세상의 가능성을 얻는다...",12세이상관람가
"과학자와 특수부대가 지구 반대편의 4차원 세계로 들어가 지구를 위협하는 외계인과 무기를 폭파하는 SF 영화. 고고학자인 잭슨은 급진적인 논리로 인해 학계에서 인정받지 못한다. 그에게 관심을 보이는 유일한 사람인 공군 특수연구소는 잭슨이 특수부대와 함께 여행할 것을 권고하며, 그의 두뇌가 필요하다고 말한다. 이집트의 석조 건물에는 다른 공간으로 통하는 문이 있다. '스타게이트'. 이 문을 통해 잭 대령을 포함한 특수부대가 들어가 원시 부족을 만나고 평화를 침략하는 악당과 싸워 물리친다. 롤랜드 에머리히의 스펙터클과 특수효과의 미학은 극의 인과성을 상대적으로 훼손하고, 특수효과조차도 어색하게 느껴진다.",12세이상관람가
"우드워드와 번스타인은 언론인으로서 라이벌 관계입니다. 하지만 어느 날 우연히 백악관 관계자와 접촉하게 되고, 닉슨 대통령의 재선을 모의하는 스파이가 워싱턴 서부 워터게이트 빌딩에 있는 민주당 본부에 도청 장치를 설치하려다 적발된 워터게이트 스캔들의 음모를 알게 되고, 더 깊이 조사하기 시작합니다. 닉슨 정부의 자금 흐름을 조사하는 동안, 그들은 의회에서 저질러진 부패를 밝혀냅니다. 워터게이트 스캔들과 관련된 부패를 조사하는 동안, 그들은 사건에 연루된 사람들이 '대통령의 사람들'이며, 개인적 해를 입힐 위협을 받고 있다는 것을 알게 됩니다...",12세이상관람가
1990년 밥 로버츠는 미국 상원의원 선거에 출마한다. 그는 펜실베이니아에서 선거 운동을 시작하면서 미국 국민에게 신선한 인상을 남기기 시작한다. 로버츠는 60년대의 관용과 정치적 순진함을 파괴한 가치들을 명확하고 단순하며 감동적인 방식으로 주장한다. 이는 중산층의 열렬한 환호를 불러일으킨다. 전직 가수였던 로버츠는 선거 운동장에서 자신이 옹호하는 보수적 색채의 노래를 부르고 뮤직비디오를 통해 유권자들의 감정을 파헤친다. 하지만 침입자가 나타난다. 기자인 라플린은 밥 로버츠가 마약 밀매에 연루되었다는 증거를 발견한다. # 이 영화는 <플레이어>의 주인공이자 <데드 맨 워킹>에서 올해 아카데미 여우주연상을 수상한 팀 로빈스가 감독하고 주연을 맡았다. 그의 미국에 대한 비판적 시각이 생생하게 살아 있다.,12세이상관람가
"캐럴은 친구의 소개로 변호사 타로우를 만나 호텔 방으로 따라가 악당들에게 타로우가 살해당하는 것을 목격하고 캐나다로 사라진다. 검사 콜필드는 호텔 욕실의 물컵에서 캐럴의 지문을 채취해 신원을 확인하고 캐나다로 떠나 캐럴을 찾는다. 콜필드는 유일한 증인인 캐럴을 증인으로 삼아 살인범 리오와 그의 갱단을 감옥에 보낼 계획을 세웠다. 콜필드가 캐럴을 찾아 증인이 되도록 설득하는 순간, 리오에게 뇌물을 받은 동료 검사 돌벡이 보낸 암살자에게 공격을 받는다...",12세이상관람가
"예수, 바흐, 헨델은 한 민족이었을까? 그들의 후손들은 우주의 먼 곳에 있는 '아름다운 녹색'이라는 행성에 살고 있다. 그들은 훼손되지 않은 자연 속에서 공동 생산과 공동 분배를 통해 평화를 유지하는 신과 같은 사람들이며, 조용한 음악과 신체 훈련을 즐긴다. 그들은 매년 다른 별을 여행하고 돌아오는 자원봉사자를 선발하고, 밀라는 아무도 가고 싶어하지 않는 지구로 향한다.",12세이상관람가
"핵전쟁이 발발한 위기 상황에서 영국 소년들을 안전한 곳으로 수송하던 비행기가 적에게 요격당해 격추되고, 소년들은 비상 탈출을 감행해 무인도에 추락한다. 이 아이들은 랄프를 리더로 선출하고, 그의 지휘 아래 다양한 구조 방법을 모색한다. 한편, 해변에 오두막을 짓자고 제안하는 랄프와 사냥을 강조하는 잭은 사소한 일로 충돌한다. 나팔을 든 사람이 말할 권리가 있다는 규칙을 무시하는 잭은 결국 랄프와 헤어진다. 실수로 죽은 낙하산 병사를 본 아이들이 짐승을 봤다고 말하자 랄프는 수색대를 조직한다. 잭의 사냥대는 춤을 추고 주문을 외우며 스스로를 축하한다. 이때 그들은 짐승이 시체라고 말하는 사이먼을 죽인다. 잭의 사냥대는 캠프를 짓고 블러디의 안경을 훔친다...",12세이상관람가
사업에 바빴던 피터 배닝은 10년 만에 처음으로 자신을 고아로 키운 웬디를 찾아간다. 그는 웬디를 위해 만든 고아 병원 개원식에서 연설을 하러 온 것이다. 하지만 마법의 섬에서 온 후크 선장이 피터의 두 아이인 잭과 매기를 납치한다. 요정 팅커벨은 전생의 기억이 없는 피터를 마법의 섬으로 데려간다...,12세이상관람가
"샐리는 고고학자인 아버지와 건축가인 어머니와 함께 외국의 역사 유적지에서 살았습니다. 하지만 어느 날, 그녀의 아버지는 견학 중에 세상을 떠났고 샐리의 가족은 미국으로 돌아갔습니다. 샐리는 이전 고향의 마야 현자로부터 그녀의 아버지는 죽지 않고 달에 갔다는 말을 들었고, 명상을 통해 그를 만날 수 있다고 들었습니다. 그 후로 샐리는 말이 많지 않았고, 달에 가까이 가기 위해 높은 곳에 올라가 어머니 루스를 불안하게 만들었습니다...",12세이상관람가
주인공 밥 존스는 디트로이트에서 잡화점을 운영하는 아버지와 함께 살다가 집을 뛰쳐나와 항상 가족을 부끄럽게 여긴다. 그는 로스앤젤레스에서 광고업자로 큰 성공을 거두지만 아내가 임신한 후 신장암 진단을 받고 수명이 제한된다. 밥은 기회가 있을 때마다 태아에게 인생에 대해 가르치고 싶은 것을 영상으로 기록한다. 밥은 마지막 희망으로 중국인 의사 호 씨를 찾아가 분노를 버리고 고향으로 돌아가라고 말한다. 이것은 세상적인 성공을 위해 열심히 일해 온 40대 남자가 신장암에 걸려 인생이 무엇인지 깨닫고 죽는 휴먼 드라마다.,12세이상관람가
"[트위스터], [단테스 피크]에 이은 또 다른 재난 영화. 어느 날 LA의 지하수 검사대가 불에 타 죽는다. 이는 화산 폭발과 용암 분출의 징조로 보고되고 정부는 상황에 대처하기 시작하지만 이미 화산 활동이 시작되었다. LA를 뒤덮은 화산재와 용암 속에서 인간의 문명과 과학은 붕괴된다. 비상대응위원회를 책임지는 마이크 로크는 놀랍지만 간단한 해결책으로 도시를 구한다. 그는 도시 중앙으로 흘러드는 용암의 방향을 바꾼다. 도시 중앙으로 거대한 화덕이 솟아오르고 용암이 흘러내리는 장면은 위협적이지만 지속적인 긴장감은 다소 부족하다. 비슷한 시기에 같은 소재로 개봉한 [단테스 피크]와 비교해 보면 흥미로울 듯하다.",12세이상관람가
"광대한 땅을 소유한 빅 베네딕트는 종마를 사기 위해 버지니아에 있는 린튼 가족을 방문하고, 그곳에서 린튼의 딸 레슬리를 만난다. 그들은 처음 만났을 때부터 서로에게 호감을 느꼈고, 두 가족의 허락을 받아 함께 새로운 집을 마련한다. 결혼 후 레슬리는 빅의 고향인 텍사스로 간다. 빅은 운전하는 데 며칠이 걸릴 정도로 큰 농장을 소유하고 있었다. 목장 생활에 익숙해지려고 노력하던 레슬리는 빅의 비서인 제트 링크에게 다가가 농장을 친절하게 안내한다. 레슬리의 도착과 그녀의 권위가 점차 흔들리는 것에 불만을 품은 빅의 자매는 사나운 말을 타고 죽는다. 자매는 친했던 링크에게 땅을 물려준다. 제트는 척박한 땅 대신 빅의 현금 제안을 거부하고 그 땅에 자신의 작은 목장을 짓는다. 시간이 흐르면서 제트의 땅에서 석유가 흘러나오기 시작하고 그는 거대한 거물로 성장한다.",12세이상관람가
"덴마크에 사는 카렌은 엄청난 재산을 가진 독신 여성이다. 그녀는 별로 생각하지 않고 아프리카에서 사는 것을 꿈꾸며 친구인 브릭센 남작과 결혼하기로 약속한다. 그들은 케냐에서 결혼하고 커피 재배를 놓고 다투고 브롤은 영국과 독일의 전쟁에 나선다. 어느 날 홀로 남겨진 카렌은 평원으로 나갔다가 사자에게 공격을 받는다. 그녀는 데니스라는 남자로부터 도움을 받는다. 이를 통해 두 사람은 가까워진다. 데니스는 카렌의 삶에 나침반 역할을 한 남자였다. 결국 남편과 이혼한 카렌은 자신이 사랑하는 데니스에게 결혼을 청하지만, 묶이는 것을 싫어하는 데니스는 그대로 있고 싶어한다. 결국 카렌은 그곳을 떠나기로 결심한다.......",12세이상관람가
