story,grade
"영국 런던에 있는 뱅크스 씨의 집. 오늘, 유모는 짐을 챙겨 집을 나간다. 마이클과 제인이 어딘가로 도망갔기 때문이다. 여성권리운동가인 뱅크스 부인은 우연히 집으로 돌아오는 길에 유모를 막으려 하지만, 유모는 그녀를 밀어내고 떠난다. 집으로 돌아온 뱅크스 씨는 신문에 새로운 유모를 구한다는 광고를 내기 위해 결심한다. 엄격하게 아이들을 교육하고 싶어하는 그와 달리, 제인과 마이클은 뺨이 빨갛고 재밌는 게임을 많이 아는 유모를 원한다. 다음 날, 많은 유모들이 뱅크스 씨의 집 앞에 줄을 서서 면접을 본다. 그런데 어딘가에서 메리 포핀스가 우산을 쓰고 나타나자 모두가 바람에 날아간다. 뱅크스 씨는 예상치 못하게 메리 포핀스를 유모로 선택한다. 그런데 아이들은 메리 포핀스와 함께 재밌고 환상적인 시간을 보내는데, 메리 포핀스는 아이들에게 재밌는 노래와 새로운 게임을 가르쳐준다...",전체 관람가
"하늘을 가로지르는 플라이 낚시로 본 가족사 1900년대 초, 스코틀랜드 장교이자 장로교 목사인 맥클레인 목사(톰 스케릿)는 아들 노먼(크레이그 셰퍼)과 폴(브래드 피트)과 그의 아내(브렌다 브레딘)와 함께 몽타주 강 유역에 있는 교회에서 살고 있는데, 그는 종교만큼 낚시를 소중히 여기고 즐긴다. 송어를 잡는 플라이 낚시꾼인 아들의 영향을 받은 그의 아들들도 아버지로부터 낚시를 ​​배우고 어린 나이부터 낚시를 ​​즐긴다. 큰 아들 노먼은 문학을 공부하기 위해 동부 대학에 진학하고, 남동생 폴은 고향에서 신문 기자로 일하며 낚시를 인생의 가장 높은 목표로 여긴다. 신중하고 지적인 노먼과 활기차고 자유분방한 폴은 어린 시절부터 형제이지만 경쟁심도 강하다. 노먼이 공부를 마치고 돌아왔을 때 폴의 낚시 실력이 예술 수준에 도달한 모습이 드러난다. 집으로 돌아온 기쁨과 동생을 두고 경쟁하는 마음을 동시에 느낀 노먼은 사랑이라는 또 다른 경험을 하게 된다. 제시(에밀리 로이드 분)에 대한 사랑이 성숙해지면서 노먼은 시카고 대학 문학 교수로 채용된다는 통보를 받게 된다. 온 가족의 기쁨은 잠깐이고, 자유분방한 삶을 살며 포커를 즐기던 폴이 어느 날 길거리에서 갑자기 구타당해 죽자 아버지와 노먼은 사랑하는 사람을 잃은 깊은 고통을 느낀다. 아버지 자신도 사랑하는 아들 폴을 죽을 때까지 잊지 못했고, 마지막 설교에서 ""완전히 이해하지 못하더라도 완벽하게 사랑할 수 있다""고 말했다. 사랑하는 사람들이 모두 죽은 그는 홀로 낚시를 하러 가고, 가족과 자신의 삶, 가족의 삶을 지배했던 낚시에 대한 기억을 엮어가며, 변함없이 흐르는 강을 바라보며 삶에 대한 황홀경에 빠져 영혼을 잃는다.",전체 관람가
"전자 바지 사건 런던 교외에서. 엉성한 발명품만 만드는 발명가 월리스는 생계를 위해 창문 청소 서비스로 일한다. 월리스의 똑똑하고 충성스러운 개 그로밋은 전자제품에서 도스토옙스키까지 모든 것을 읽는 지식이 풍부한 개다. 그로밋이 생일을 축하할 때 월리스는 그에게 전자 바지를 선물로 준다. 최첨단 기술로 만들어진 전자 바지는 그로밋을 산책시키고 무엇이든 할 수 있는 다재다능한 바지다. 그러나 그는 이 선물에 많은 돈을 쓰고 돈이 떨어지자 하숙인을 데려가야 한다. 광고를 보고 고용한 룸메이트는 수배범인 펭귄 맥그로다. 자리를 잃은 그로밋은 집을 뛰쳐나갔지만 우연히 펭귄 맥그로의 정체를 알게 되자 위험에 처한 주인을 돕기 위해 나선다. 월리스는 멋진 크래커에 치즈를 얹어야 한다고 생각한다. 그러나 어느 날 치즈가 떨어진다. 그로밋과 많은 생각을 한 후, 그는 달이 치즈로 만들어졌다는 전설을 믿고 달에 가기로 결심합니다. 울 도둑 신문을 읽고 있던 그로밋은 월리스에게 신문을 보여주고 걱정을 표합니다. 신문에는 심각한 양털 부족이 있고 그 이유는 양을 자주 훔치기 때문이라고 나와 있습니다. 그러던 어느 날, 그는 창문 청소 서비스 매장에서 일하는 웬돌린이라는 소녀에게 첫눈에 반합니다.",전체 관람가
"알래스카의 초라한 부두에 난파선이 있다. 그곳이 발토의 은신처다. 발토는 용감하고 친절하지만, 늑대개라는 이유만으로 마을 사람들과 개들에게 외면당한다. 그의 유일한 친구는 러시아 거위 삼촌 보리스, 겁쟁이 북극곰 형제 머크와 루크, 그리고 예쁜 여자친구 제나 뿐이다. 그런데 평화로운 마을에 50도가 넘는 혹독한 겨울이 찾아오고, 마을 아이들에게 전염병이 빠르게 퍼진다. 제니의 주인 로지도 전염병에 걸려 병이 난다. 한편, 마을에서는 비행기, 기차, 배 등 모든 교통수단을 동원해 약품을 운반하지만, 알래스카의 맹렬한 눈보라 앞에서는 도무지 어찌할 도리가 없다. 마지막 수단으로 약품을 운반할 썰매 팀을 파견하고, 썰매를 이끌 강한 개를 선발하는 경주를 열기로 한다. 발토는 경주에서 1위를 차지하지만, 그들은 그가 늑대견이기 때문에 그를 제외시키고, 발토를 싫어하는 스틸을 리더로 한 썰매 팀을 보낸다. 그러나 돌아오는 길에 약을 싣고 온 스틸의 썰매 팀은 폭설 속에서 길을 잃는다...",전체 관람가
"영화가 어린 시절의 전부였던 소년 토토는 학교가 끝난 후 마을 광장에 있는 오래된 시네마 파라디소 극장으로 달려가서 영사기사 알프레도와 친구가 되고, 어깨 너머로 영사 기술을 배웁니다. 어느 날 광장에서 관객을 위해 야외 상영을 하던 알프레도가 화재로 실명하고, 토토는 그의 발자취를 따라 시네마 파라디소에서 영사기사로 일합니다. 실명한 후에도 알프레도는 토토의 친구이자 아버지로서 강력한 영적 지지자가 됩니다. 토토가 청년이 되어 엘레나의 부모의 반대에 좌절했을 때, 그는 그에게 세상으로 나가 더 많은 것을 배우라고 격려합니다...",전체 관람가
"인도에서 태어난 메리는 바쁜 부모님이 무관심한 사이 유모의 보살핌을 받으며 조용한 아이로 자랐습니다. 열 살 때 메리는 지진으로 부모님을 잃고 영국에 있는 쌍둥이 이모와 함께 살게 되었습니다. 하지만 이모는 이미 세상을 떠났고, 삼촌인 크레이븐 경도 굽은 허리에 대한 자기 혐오와 일찍 아내를 잃은 슬픔 때문에 메리를 돌볼 수 없었습니다. 메리는 수백 개의 방이 있는 저택에서 친구 없이 혼자 살았고, 가정부인 메들록 부인의 차가운 대우를 받았습니다. 그러다가 친절한 하녀 마사 디컨을 만나 비밀 정원을 발견한 메리, 디컨, 메리의 사촌은 각자의 공간에서 꽃을 키우는 것을 좋아하게 되었습니다.",전체 관람가
스카이워커는 얼어붙어 자바의 방에 장식으로 옮겨진 솔로를 구하기 위해 고향 행성 타투인으로 돌아와 자바에게 선물로 R2-D2와 3PO를 보내라는 조건으로 솔로를 풀어주겠다고 제안하지만 자바는 로봇들을 붙잡고 솔로를 풀어주기를 거부한다. 이때 레이아 공주가 츄바카를 자바에게 판다는 명목으로 변장하고 나타난다. 그녀는 탄소 동결 감옥에서 솔로를 구해내지만 자바는 그녀를 붙잡아 사슬로 끌고 다닌다. 이제 루크는 '포스'에 대한 모든 것을 터득한 후 그와 정면으로 맞선다. 자바의 부하들을 물리치고 솔로를 구해내고 우주선을 타고 다고바로 돌아간다. 루크는 다시 요다를 찾아 그의 죽음을 목격하고 베이더가 자신의 아버지임을 확인한다. 케노비의 영혼은 그에게 진실을 밝힙니다. 그의 아버지 아나킨 스카이워커는 포스의 사악한 면에 유혹당해 주인을 배신하고 제다이 기사단을 몰살시키고 황제의 충성스러운 하인이 되었습니다. 그래서 그는 아버지가 죽었다는 사실과 레이아 공주가 자신의 쌍둥이 자매라는 사실을 숨겼다는 것을 알게 됩니다. 그는 그녀를 황제의 손아귀에서 피하기 위해 숨겨서 은신처로 보냈습니다...,전체 관람가
"13년 만에 만난 아버지와 아들. 뉴욕 월가의 일벌인 남편에게 임신 사실조차 알리지 않고 아마존으로 떠난 신혼 신부는 이혼서류를 받으러 온 옛 남편에게 13살 아들을 소개한다. 아버지와 아들의 재회는 곧 뉴욕과 아마존이라는 두 극단의 정글의 만남으로 이어지고, 문명과 원시의 대립은 진부한 '자연의 너그러운 포옹'이나 '따뜻한 가족 보금자리'로 돌아온다. 미국 가족 영화의 본고장 월트 디즈니가 프랑스 영화 [인디언 인 더 시티]를 가벼운 코미디로 리메이크했다. 31일 개봉. 정재숙 기자",전체 관람가
"폭풍이 멎고 해가 뜨면서 긴 항해를 마친 작은 배가 '스위트 헤이븐'이라는 도시의 항구에 들어온다. 두 살 때 헤어진 아버지를 찾아 여행을 떠난 뽀빠이는 항구에서 쾌활한 주부를 만나 그녀의 집으로 초대받는다. 그곳에서 뽀빠이는 그녀의 가족, 특히 그녀의 아름다운 딸 올리브에게 소개받는다. 하지만 저녁 식사 중에 뽀빠이는 올리브가 이미 약혼자가 있다는 것을 알게 되고, 그녀의 약혼자는 다름 아닌 브루토 선장이다. 브루토는 목소리가 큰 덩치 큰 남자로, 스윗 헤이븐의 악당으로 제독이라는 남자를 위해 일한다. 어느 날 올리브와 뽀빠이는 바구니 속 아이를 함께 키우면서 서로 호감을 갖게 되고, 결국 브루토의 화가 폭발하여 올리브의 가족을 괴롭히기 시작한다.",전체 관람가
"이것은 헵번이 시각 장애인 역할을 맡은 공포 스릴러입니다. 어느 날, 헵번이 혼자 사는 아파트에 낯선 남자가 찾아옵니다. 그 남자는 헵번의 집에 강제로 침입하여 집을 수색하기 시작합니다. 그 남자가 찾는 것은 마약이 들어 있는 인형입니다. 그 인형을 찾기 위해 그 남자는 헵번을 맹렬히 위협하고, 시각 장애인 헵번은 필사적으로 도망칩니다. 두려움에 크게 뜬 헵번의 초점 없는 눈이 인상적입니다.",전체 관람가
"뛰어난 분자 생물학자인 빅터 프라이즈 박사는 병든 아내를 치료하기 위해 극저온 냉동 실험을 하던 중 끔찍한 사고를 당하고 이상하게 얼어붙은 인간인 미스터 프리즈가 됩니다. 그는 체온을 영하로 유지해야 하기 때문에 다이아몬드로 만든 극저온 슈트를 입고 살아야 합니다. 그의 유일한 목표는 얼어붙은 아내를 구하고 고담시를 그의 얼어붙은 왕국으로 만들기 위한 실험에 필요한 막대한 돈을 모으는 것입니다. 미스터 프리즈의 야망을 물리칠 수 있는 유일한 희망은 배트맨입니다. 이번에는 혼자가 아닙니다. 그는 용감한 파트너 로빈과 함께합니다. 그들은 악당 미스터 프리즈와 싸우기 위해 팀을 이룹니다. 그러나 미스터 프리즈에게도 파트너가 있습니다. 죽음의 키스를 든 아름다운 악녀 포이즌 아이비는 식물 세계를 정복하려는 야망을 이루기 위해 고담시에 위협으로 나타납니다. 포이즌 아이비의 원래 정체는 착한 식물학자 파멜라 아이슬리 박사입니다. 그녀는 운명의 장난으로 매혹적이고 위험한 악녀 포이즌 아이비로 변신합니다. 고군분투하는 배트맨과 로빈 앞에 또 다른 동맹이 나타난다. 그녀는 낮과 밤에 두 얼굴을 가진 여성, 배트걸이다. 그녀는 낮에는 수줍은 여학생이지만, 밤에는 두려움 없는 모터사이클 레이서인 바바라 윌슨으로 변신한다...",전체 관람가
"앙드레는 딸 베로와 함께 파리에서 조금 떨어진 모리스 섬으로 휴가를 간다. 이것은 이혼한 아버지가 소원해진 딸과 가까워질 수 있는 좋은 기회다. 모리스 섬에 도착한 감정적인 베로는 해변에서 요트를 타고 있는 벤자민을 만나고 곧 그에게 관심을 갖는다. 베로가 앙드레가 자신의 아버지라는 사실을 벤자민에게 숨기고 마약 중독자로부터 자신을 구해준 모험가라고 거짓말하자 앙드레도 거짓말에 휘말린다. 어느 날, 베로의 요트가 암초에 부딪히고 앙드레와 벤자민이 바다로 뛰어들면서 베로는 위험에 처한다. 그러자 베로는 갑자기 물속으로 가라앉고 있는 앙드레에게 자신이 자신의 아버지라고 소리치고 거짓말이 폭로된다. 그 결과 베로와 벤자민의 관계는 멀어진다...",전체 관람가
"라스베이거스의 호텔 쇼에서 일하는 어머니와 둘이 사는 7살 소년 알버트는 쇼 멤버들로부터 많은 사랑을 받으며 행복한 나날을 보낸다. 그러던 어느 날, 어머니가 교통사고로 죽자 알버트는 어머니의 유언에 따라 얼굴을 한 번도 본 적이 없는 옛 친구 해리엇에게 보내진다. 하지만 해리엇은 솔직하고 일만 아는 여자다. 외로운 알버트에게 갑자기 종이에 그려진 그림에서 보거스라는 거인이 나타나 친구가 된다. 어느 날, 알버트는 근처 도시에서 쇼가 공연된다는 소식을 듣고 도망간다. 해리엇은 많은 어려움 끝에 알버트를 집으로 데려간다. 그리고 그는 마침내 어린 시절부터 간직해 온 꿈을 해리엇 앞에서 깨운다.",전체 관람가
<로우보이스2>는 일제 강점기 위안부로 굴욕적인 삶을 살았던 할머니들을 중심으로 한 영화다. 이 영화는 위안부 할머니들이 평생 가슴에 쌓았던 원망을 털어놓고 슬픔에 잠긴 나날을 보내는 모습을 보여준다. 여성이라는 이유만으로 위안부라는 굴욕을 견뎌야 했던 여성들의 모습은 인권과 자유에 대해 생각할 여지를 남겨주기에 충분하다. 영화를 만든 변영주 감독은 연출 코멘트에서 현대를 사는 여성들이 겪어야 하는 고통의 근원을 파헤쳤다고 밝혔다.,전체 관람가
"젊은 미망인인 안나는 시암(태국) 국왕의 초대로 아들 루이스와 함께 방콕에 도착하지만, 도착한 첫날부터 그녀는 약속을 지키지 않는 국왕에게 실망하고 영국으로 돌아가려고 한다. 덕망 있는 영국인인 안나는 다소 거칠고 자기중심적인 국왕과 사소한 일마다 충돌하지만, 그동안 시암을 현대화하기 위해 다양한 노력을 기울이는 국왕에게 이상한 애정을 갖게 된다. 한편, 영국 여왕은 시암 국왕이 야만인이라는 말을 듣고 국왕은 깊은 곤경에 빠진다. 안나는 영국 대사에게 국왕이 야만인이 아니라는 것을 보여주기 위해 호화로운 연회를 열 것을 제안한다. 안나의 안내로 연회는 성공적으로 치러지고, 연회의 하이라이트인 연극은 시암 왕에게 조공으로 바쳐진 링 버마의 튜프팀 공주가 공연하고, 영국 대사와 그의 일행을 깊이 감동시키며 대성공을 거두며 끝을 맺는다. 하지만 튜프팀은 자신을 수행한 사절인 룬타를 사랑하게 된다. 안나의 도움으로 연회에서 톰 아저씨의 오두막을 각색한 튜프팀은 자신의 상황과 비교하여 왕에게 의미심장한 메시지를 전하지만, 노예를 쫓던 왕의 죽음을 칭찬하자 왕은 크게 화를 낸다. 얼마 후 왕은 튜프팀이 도망쳤다는 사실을 알게 되고 안나와 큰 말다툼을 하고, 안나는 결국 영국으로 돌아가기로 결심한다...",전체 관람가
"동물원 동물들은 그들이 살던 곳과 그들의 삶이 어떻게 다른지, 그리고 좋은 점과 나쁜 점이 무엇인지에 대해 인터뷰를 받습니다. 북극곰 가족, 브라질 아마존을 그리워하는 고양이, 지루해하는 원숭이, 여우원숭이, 탈출을 시도하는 거북이, 서커스 자매 닭과 삶을 비교하는 닭이 모두 인터뷰를 받습니다.",전체 관람가
"유벤타의 역사 2500년. 하늘에 떠 있는 네 개의 달이 겹치면 모든 것이 처음으로 돌아간다고 한다. 수수께끼를 푸는 유일한 열쇠는 신비한 힘을 가진 두 개의 전설의 마젠타 돌이다. 델타 제국의 총독 크루거는 이스틴 왕국에서 대대로 전해져 온 유일한 마젠타 돌을 쫓아 이스틴 왕국을 침략한다. 마젠타를 가지고 성에서 도망치던 아델 공주는 크루거의 부하인 마소네에게 공격을 받아 사막으로 떨어진다. 다행히 아델은 유목민 소년 라이언의 도움으로 구출되지만 마소네가 마젠타 돌을 가져간다. 라이언은 현재는 멸종된 샤산 부족의 전사로, 유벤타를 구하기 위해 아델과 함께 두 번째 전설의 마젠타를 찾아 나선다.",전체 관람가
제우스의 아들로 태어난 헤라클레스는 지하 세계의 신 하데스의 음모로 인해 인간이 되었습니다. 다시 신이 되기 위해서는 진정한 영웅이 되어야 합니다. 반인반염소인 필에게서 영웅 훈련을 마친 헤라클레스는 날개 달린 말 페가수스를 타고 네수스와 히드라와 같은 무시무시한 괴물들과 싸워 승리합니다. 하지만 제우스는 진정한 영웅은 힘으로 영웅이 되는 것이 아니라고 경고합니다. 한편 올림푸스의 왕이 되고자 하는 야망을 가진 하데스는 헤라클레스가 사랑하는 여자 메그를 미끼로 삼아 그의 힘을 빼앗으려 합니다.,전체 관람가
"도시 소년 마르셀이 시골 빌라에서 여름을 보내는 이야기를 아름답게 포착한 아름다운 가족 영화. 마르셀의 가족은 교사인 아버지, 재단사인 어머니, 남동생 폴, 그리고 결국 결혼한 이모와 삼촌으로 구성되어 있습니다. 마르셀은 어린 나이에 글을 읽는 법을 배웁니다. 하지만 마르셀은 아이를 아이로 키워야 한다는 어머니의 교육 정책에 따라 책을 읽는 것이 금지되어 있습니다. 마르셀은 자연스럽게 백일몽에 빠지고, 그 백일몽을 통해 아버지와 마을의 어른들을 이해하게 됩니다. 여름방학은 마르셀의 백일몽을 바꿀 수 있는 기회가 됩니다. 특히 아버지는 마르셀이 생각했던 만큼 완벽하지 않습니다. 여기저기서 겪는 작은 사건들을 통해 마르셀은 어른들의 거짓된 세계를 깨닫고 어른이 되기 위한 큰 발걸음을 내딛습니다. [마농의 봄]으로 잘 알려진 프랑스 극작가, 영화 감독, 소설가, 시인인 마르셀 파뇰의 자서전 소설 [어린 시절의 추억]을 원작으로 합니다. 아이의 순수한 상상력으로 만들어진 대사와 다양한 에피소드, 아름다운 자연경관, 아이와 어른의 소통을 유쾌하게 섞은 동화같은 영화 / 씨네21 217 TV무비",전체 관람가
